"name","feature_type","description","score"
"BLID","Gene","BH3-like motif containing, cell death inducer [Source:HGNC Symbol;Acc:HGNC:33495]  BH3-LIKE MOTIF-CONTAINING CELL DEATH INDUCER; BLID [*608853] (MIM gene record; description: BH3-LIKE MOTIF-CONTAINING CELL DEATH INDUCER; BLID;;BREAST CANCER CELL 2; BRCC2,) is an external reference matched to Gene ENSG00000259571","1.1131041"
"SLC22A18","Gene","solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000110628","1.1115619"
"LRATD2","Gene","LRAT domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24166]  FAMILY WITH SEQUENCE SIMILARITY 84, MEMBER B; FAM84B [*609483] (MIM gene record; description: FAMILY WITH SEQUENCE SIMILARITY 84, MEMBER B; FAM84B;;BREAST CANCER MEMBRANE PROTEIN 101; BCMP101,) is an external reference matched to Gene ENSG00000168672","1.1110066"
"NQO2","Gene","N-ribosyldihydronicotinamide:quinone reductase 2 [Source:HGNC Symbol;Acc:HGNC:7856]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000124588","1.1110066"
"PIK3CA","Gene","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000121879","1.1107007"
"BCAR3","Gene","BCAR3 adaptor protein, NSP family member [Source:HGNC Symbol;Acc:HGNC:973]  BREAST CANCER ANTIESTROGEN RESISTANCE 3; BCAR3 [*604704] (MIM gene record; description: BREAST CANCER ANTIESTROGEN RESISTANCE 3; BCAR3;;SH2 DOMAIN-CONTAINING PROTEIN 3B; SH2D3B;;NOVEL SH2-CONTAINING PROTEIN 2; NSP2,) is an external reference matched to Gene ENSG00000137936","1.1090394"
"TFF1","Gene","trefoil factor 1 [Source:HGNC Symbol;Acc:HGNC:11755]  TREFOIL FACTOR 1; TFF1 [*113710] (MIM gene record; description: TREFOIL FACTOR 1; TFF1;;BREAST CANCER ESTROGEN-INDUCIBLE SEQUENCE; BCEI;;GASTROINTESTINAL TREFOIL PROTEIN pS2; pS2,) is an external reference matched to Gene ENSG00000160182","1.108909"
"PHB1","Gene","prohibitin 1 [Source:HGNC Symbol;Acc:HGNC:8912]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000167085","1.108909"
"PPM1D","Gene","protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000170836","1.108909"
"RB1CC1","Gene","RB1 inducible coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:15574]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000023287","1.108909"
"PALB2","Gene","partner and localizer of BRCA2 [Source:HGNC Symbol;Acc:HGNC:26144]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000083093","1.1078051"
"KRAS","Gene","KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000133703","1.1076616"
"PRNCR1","Gene","prostate cancer associated non-coding RNA 1 [Source:HGNC Symbol;Acc:HGNC:48942]  PROSTATE CANCER-ASSOCIATED NONCODING RNA 1; PRNCR1 [*615452] (MIM gene record; description: PROSTATE CANCER-ASSOCIATED NONCODING RNA 1; PRNCR1;;PROSTATE CANCER-ASSOCIATED TRANSCRIPT 8; PCAT8;;CANCER-ASSOCIATED REGION LONG NONCODING RNA 4; CARLO3;;lncRNA CARLO3,) is an external reference matched to Gene ENSG00000282961","1.1071538"
"BARD1","Gene","BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000138376","1.1068115"
"SNCG","Gene","synuclein gamma [Source:HGNC Symbol;Acc:HGNC:11141]  SYNUCLEIN, GAMMA; SNCG [*602998] (MIM gene record; description: SYNUCLEIN, GAMMA; SNCG;;BREAST CANCER-SPECIFIC GENE 1; BCSG1;;PERSYN,) is an external reference matched to Gene ENSG00000173267","1.1068115"
"AGR3","Gene","anterior gradient 3, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:24167]  ANTERIOR GRADIENT 3, PROTEIN DISULPHIDE ISOMERASE FAMILY MEMBER; AGR3 [*609482] (MIM gene record; description: ANTERIOR GRADIENT 3, PROTEIN DISULPHIDE ISOMERASE FAMILY MEMBER; AGR3;;ANTERIOR GRADIENT 3, XENOPUS, HOMOLOG OF;;BREAST CANCER MEMBRANE PROTEIN 11; BCMP11,) is an external reference matched to Gene ENSG00000173467","1.1068115"
"XRCC3","Gene","X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000126215","1.1068115"
"RAD51","Gene","RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000051180","1.1068115"
"RAD54L","Gene","RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000085999","1.1068115"
"BCAS4","Gene","breast carcinoma amplified sequence 4 [Source:HGNC Symbol;Acc:HGNC:14367]  BREAST CARCINOMA AMPLIFIED SEQUENCE 4; BCAS4 [*607471] (MIM gene record; description: BREAST CARCINOMA AMPLIFIED SEQUENCE 4; BCAS4,) is an external reference matched to Gene ENSG00000124243","1.1066188"
"CHEK2","Gene","checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000183765","1.1064825"
"AKT1","Gene","AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000142208","1.1061497"
"CASC11","Gene","cancer susceptibility 11 [Source:HGNC Symbol;Acc:HGNC:48939]  CANCER SUSCEPTIBILITY CANDIDATE 11, NONCODING; CASC11 [*617704] (MIM gene record; description: CANCER SUSCEPTIBILITY CANDIDATE 11, NONCODING; CASC11;;LONG INTERGENIC NONCODING RNA 990; LINC00990;;lincRNA 990;;CANCER-ASSOCIATED REGION LONG NONCODING RNA 7; CARLO7,) is an external reference matched to Gene ENSG00000249375","1.1056086"
"ESR1","Gene","estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000091831","1.1055089"
"CASP8","Gene","caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000064012","1.1054637"
"CCAT2","Gene","colon cancer associated transcript 2 [Source:HGNC Symbol;Acc:HGNC:47044]  COLON CANCER-ASSOCIATED TRANSCRIPT 2, NONCODING; CCAT2 [*619403] (MIM gene record; description: COLON CANCER-ASSOCIATED TRANSCRIPT 2, NONCODING; CCAT2;;LONG NONCODING RNA CCAT2;;lncRNA CCAT2,) is an external reference matched to Gene ENSG00000280997","1.1051664"
"AATBC","Gene","apoptosis associated transcript in bladder cancer [Source:HGNC Symbol;Acc:HGNC:51526]  AATBC-201 (Transcript name record; description: apoptosis associated transcript in bladder cancer,) is an external reference matched to Transcript ENST00000400385","1.1051664"
"FALEC","Gene","focally amplified long non-coding RNA in epithelial cancer [Source:HGNC Symbol;Acc:HGNC:43713]  FOCALLY AMPLIFIED LONG NONCODING RNA IN EPITHELIAL CANCER; FALEC [*616092] (MIM gene record; description: FOCALLY AMPLIFIED LONG NONCODING RNA IN EPITHELIAL CANCER; FALEC;;FOCALLY AMPLIFIED lncRNA ON CHROMOSOME 1; FAL1,) is an external reference matched to Gene ENSG00000228126","1.1051664"
"PCAT18","Gene","prostate cancer associated transcript 18 [Source:HGNC Symbol;Acc:HGNC:49211]  PROSTATE CANCER-ASSOCIATED TRANSCRIPT 18, NONCODING; PCAT18 [*617647] (MIM gene record; description: PROSTATE CANCER-ASSOCIATED TRANSCRIPT 18, NONCODING; PCAT18;;LONG INTERGENIC NONCODING RNA 1092; LINC01092;;lincRNA 1092,) is an external reference matched to Gene ENSG00000265369","1.1051664"
"GACAT2","Gene","gastric cancer associated transcript 2 [Source:HGNC Symbol;Acc:HGNC:50516]  GASTRIC CANCER-ASSOCIATED TRANSCRIPT 2, NONCODING; GACAT2 [*616131] (MIM gene record; description: GASTRIC CANCER-ASSOCIATED TRANSCRIPT 2, NONCODING; GACAT2;;MTCL1 ANTISENSE RNA 1; MTCL1AS1;;LONG INTERGENIC NONCODING RNA 717;;lincRNA717,) is an external reference matched to Gene ENSG00000265962","1.1051664"
"RAD51C","Gene","RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]  BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 3; BROVCA3 BREAST CANCER, FAMILIAL, SUSCEPTIBILITY TO, 3, INCLUDED [#613399] (MIM morbid record; description: BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 3; BROVCA3 BREAST CANCER, FAMILIAL, SUSCEPTIBILITY TO, 3, INCLUDED;;OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 3, INCLUDED,) is an external reference matched to Gene ENSG00000108384","1.1051314"
"CASC20","Gene","cancer susceptibility 20 [Source:HGNC Symbol;Acc:HGNC:49477]  CASC20-201 (Transcript name record; description: cancer susceptibility 20,) is an external reference matched to Transcript ENST00000415932","1.1050776"
"CT75","Gene","cancer/testis associated transcript 75 [Source:HGNC Symbol;Acc:HGNC:37174]  CT75-201 (Transcript name record; description: cancer/testis associated transcript 75,) is an external reference matched to Transcript ENST00000587192","1.1050776"
"CASC8","Gene","cancer susceptibility 8 [Source:HGNC Symbol;Acc:HGNC:45129]  CANCER SUSCEPTIBILITY CANDIDATE 8, NONCODING; CASC8 [*617701] (MIM gene record; description: CANCER SUSCEPTIBILITY CANDIDATE 8, NONCODING; CASC8;;LONG INTERGENIC NONCODING RNA 860; LINC00860;;lincRNA 860;;CANCER-ASSOCIATED REGION LONG NONCODING RNA 1; CARLO1,) is an external reference matched to Gene ENSG00000246228","1.1050776"
"CT47B1","Gene","cancer/testis antigen family 47 member B1 [Source:HGNC Symbol;Acc:HGNC:33293]  CANCER/TESTIS ANTIGEN FAMILY 47, MEMBER B1; CT47B1 [*300790] (MIM gene record; description: CANCER/TESTIS ANTIGEN FAMILY 47, MEMBER B1; CT47B1;;CT47A13;;CT47.13,) is an external reference matched to Gene ENSG00000236446","1.1049877"
"CT83","Gene","cancer/testis antigen 83 [Source:HGNC Symbol;Acc:HGNC:33494]  CANCER/TESTIS ANTIGEN 83; CT83 [*300625] (MIM gene record; description: CANCER/TESTIS ANTIGEN 83; CT83;;KITA-KYUSHU LUNG CANCER ANTIGEN 1; KKLC1;;CHROMOSOME X OPEN READING FRAME 61; CXORF61,) is an external reference matched to Gene ENSG00000204019","1.1049877"
"CASC19","Gene","cancer susceptibility 19 [Source:HGNC Symbol;Acc:HGNC:49476]  PCAT2 (NCBI gene (formerly Entrezgene) record; description: prostate cancer associated transcript 2,) is an external reference matched to Gene ENSG00000254166","1.104897"
"CASC17","Gene","cancer susceptibility 17 [Source:HGNC Symbol;Acc:HGNC:43911]  CASC17-201 (Transcript name record; description: cancer susceptibility 17,) is an external reference matched to Transcript ENST00000569074","1.1048857"
"BRIP1","Gene","BRCA1 interacting helicase 1 [Source:HGNC Symbol;Acc:HGNC:20473]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000136492","1.1047139"
"ANKRD30B","Gene","ankyrin repeat domain 30B [Source:HGNC Symbol;Acc:HGNC:24165]  ANKYRIN REPEAT DOMAIN-CONTAINING PROTEIN 30B; ANKRD30B [*616565] (MIM gene record; description: ANKYRIN REPEAT DOMAIN-CONTAINING PROTEIN 30B; ANKRD30B;;BREAST CANCER ANTIGEN NY-BR-1.1,) is an external reference matched to Gene ENSG00000180777","1.1047139"
"VWA5A","Gene","von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]  VON WILLEBRAND FACTOR A DOMAIN-CONTAINING PROTEIN 5A; VWA5A [*602929] (MIM gene record; description: VON WILLEBRAND FACTOR A DOMAIN-CONTAINING PROTEIN 5A; VWA5A;;LOSS OF HETEROZYGOSITY, CHROMOSOME 11, REGION 2, GENE A; LOH11CR2A;;BREAST CANCER SUPPRESSOR CANDIDATE 1; BCSC1,) is an external reference matched to Gene ENSG00000110002","1.1047139"
"RNF115","Gene","ring finger protein 115 [Source:HGNC Symbol;Acc:HGNC:18154]  RING FINGER PROTEIN 115; RNF115 [*619535] (MIM gene record; description: RING FINGER PROTEIN 115; RNF115;;BREAST CANCER-ASSOCIATED GENE 2; BCA2;;RAB7-INTERACTING RING FINGER PROTEIN; RABRING7;;ZINC FINGER PROTEIN 364; ZNF364; ZFP364,) is an external reference matched to Gene ENSG00000265491","1.1047139"
"ANKRD30A","Gene","ankyrin repeat domain 30A [Source:HGNC Symbol;Acc:HGNC:17234]  ANKYRIN REPEAT DOMAIN-CONTAINING PROTEIN 30A; ANKRD30A [*610856] (MIM gene record; description: ANKYRIN REPEAT DOMAIN-CONTAINING PROTEIN 30A; ANKRD30A;;BREAST CANCER ANTIGEN NY-BR-1,) is an external reference matched to Gene ENSG00000148513","1.1047139"
"COLCA1","Gene","colorectal cancer associated 1 [Source:HGNC Symbol;Acc:HGNC:33789]  COLCA1 GENE; COLCA1 [*615693] (MIM gene record; description: COLCA1 GENE; COLCA1;;COLORECTAL CANCER-ASSOCIATED GENE 1,) is an external reference matched to Gene ENSG00000196167","1.1047127"
"LNCOC1","Gene","lncRNA associated with ovarian cancer 1 [Source:HGNC Symbol;Acc:HGNC:53947]  LNCOC1-201 (Transcript name record; description: lncRNA associated with ovarian cancer 1,) is an external reference matched to Transcript ENST00000520572","1.1047127"
"CASC9","Gene","cancer susceptibility 9 [Source:HGNC Symbol;Acc:HGNC:48906]  CASC9-201 (Transcript name record; description: cancer susceptibility 9,) is an external reference matched to Transcript ENST00000504531","1.1045953"
"PCAT6","Gene","prostate cancer associated transcript 6 [Source:HGNC Symbol;Acc:HGNC:43714]  PCAT6-201 (Transcript name record; description: prostate cancer associated transcript 6,) is an external reference matched to Transcript ENST00000417262","1.1045122"
"CT45A2","Gene","cancer/testis antigen family 45 member A2 [Source:HGNC Symbol;Acc:HGNC:28400]  CANCER/TESTIS ANTIGEN FAMILY 45, MEMBER A2; CT45A2 [*300793] (MIM gene record; description: CANCER/TESTIS ANTIGEN FAMILY 45, MEMBER A2; CT45A2;;CANCER/TESTIS ANTIGEN 45, MEMBER 2; CT45.2,) is an external reference matched to Gene ENSG00000271449","1.1045122"
"CASC15","Gene","cancer susceptibility 15 [Source:HGNC Symbol;Acc:HGNC:28245]  CASC15-201 (Transcript name record; description: cancer susceptibility 15,) is an external reference matched to Transcript ENST00000444265","1.1045122"
"CASC18","Gene","cancer susceptibility 18 [Source:HGNC Symbol;Acc:HGNC:49463]  CASC18-201 (Transcript name record; description: cancer susceptibility 18,) is an external reference matched to Transcript ENST00000547465","1.1045122"
"PCAT19","Gene","prostate cancer associated transcript 19 [Source:HGNC Symbol;Acc:HGNC:49593]  PROSTATE CANCER-ASSOCIATED TRANSCRIPT 19, NONCODING; PCAT19 [*618192] (MIM gene record; description: PROSTATE CANCER-ASSOCIATED TRANSCRIPT 19, NONCODING; PCAT19;;LONG INTERGENIC NONCODING RNA 1190; LINC01190;;lincRNA 1190,) is an external reference matched to Gene ENSG00000267107","1.1045003"
"PCA3","Gene","prostate cancer associated 3 [Source:HGNC Symbol;Acc:HGNC:8637]  PROSTATE CANCER ANTIGEN 3; PCA3 [*604845] (MIM gene record; description: PROSTATE CANCER ANTIGEN 3; PCA3;;PROSTATE-SPECIFIC GENE DD3; DD3,) is an external reference matched to Gene ENSG00000225937","1.1044282"
"PCAT1","Gene","prostate cancer associated transcript 1 [Source:HGNC Symbol;Acc:HGNC:43022]  PROSTATE CANCER-ASSOCIATED TRANSCRIPT 1, NONCODING; PCAT1 [*616043] (MIM gene record; description: PROSTATE CANCER-ASSOCIATED TRANSCRIPT 1, NONCODING; PCAT1,) is an external reference matched to Gene ENSG00000253438","1.1043919"
"NTPCR","Gene","nucleoside-triphosphatase, cancer-related [Source:HGNC Symbol;Acc:HGNC:28204]  NTPCR-201 (Transcript name record; description: nucleoside-triphosphatase, cancer-related,) is an external reference matched to Transcript ENST00000366627","1.1042944"
"CASC2","Gene","cancer susceptibility 2 [Source:HGNC Symbol;Acc:HGNC:22933]  CANCER SUSCEPTIBILITY CANDIDATE 2; CASC2 [*608598] (MIM gene record; description: CANCER SUSCEPTIBILITY CANDIDATE 2; CASC2,) is an external reference matched to Gene ENSG00000177640","1.1042944"
"CT69","Gene","cancer/testis associated transcript 69 [Source:HGNC Symbol;Acc:HGNC:37196]  CT69-201 (Transcript name record; description: cancer/testis associated transcript 69,) is an external reference matched to Transcript ENST00000417483","1.1042944"
"CASC22","Gene","cancer susceptibility 22 [Source:HGNC Symbol;Acc:HGNC:50627]  CASC22-201 (Transcript name record; description: cancer susceptibility 22,) is an external reference matched to Transcript ENST00000569713","1.1042944"
"CT75","Gene","cancer/testis associated transcript 75 [Source:HGNC Symbol;Acc:HGNC:37174]  CT75-202 (Transcript name record; description: cancer/testis associated transcript 75,) is an external reference matched to Transcript ENST00000424010","1.1042821"
"CT70","Gene","cancer/testis associated transcript 70 [Source:HGNC Symbol;Acc:HGNC:37195]  CT70-201 (Transcript name record; description: cancer/testis associated transcript 70,) is an external reference matched to Transcript ENST00000457720","1.1042821"
"GACAT3","Gene","gastric cancer associated transcript 3 [Source:HGNC Symbol;Acc:HGNC:50847]  GACAT3-201 (Transcript name record; description: gastric cancer associated transcript 3,) is an external reference matched to Transcript ENST00000426539","1.1042821"
"SCHLAP1","Gene","SWI/SNF complex antagonist associated with prostate cancer 1 [Source:HGNC Symbol;Acc:HGNC:48603]  SWI/SNF COMPLEX ANTAGONIST ASSOCIATED WITH PROSTATE CANCER 1, NONCODING; SCHLAP1 [*615568] (MIM gene record; description: SWI/SNF COMPLEX ANTAGONIST ASSOCIATED WITH PROSTATE CANCER 1, NONCODING; SCHLAP1;;SECOND CHROMOSOME LOCUS ASSOCIATED WITH PROSTATE 1;;PROSTATE CANCER-ASSOCIATED TRANSCRIPT 114; PCAT114;;LONG INTERGENIC NONCODING RNA 913; LINC00913;;lincRNA 913,) is an external reference matched to Gene ENSG00000281131","1.1042329"
"CT62","Gene","cancer/testis associated 62 [Source:HGNC Symbol;Acc:HGNC:27286]  CT62-201 (Transcript name record; description: cancer/testis associated 62,) is an external reference matched to Transcript ENST00000564862","1.1042329"
"PCAT4","Gene","prostate cancer associated transcript 4 [Source:HGNC Symbol;Acc:HGNC:24853]  PROSTATE CANCER-ASSOCIATED TRANSCRIPT 4; PCAT4 [*609717] (MIM gene record; description: PROSTATE CANCER-ASSOCIATED TRANSCRIPT 4; PCAT4;;GENE DIFFERENTIALLY EXPRESSED IN PROSTATE; GDEP,) is an external reference matched to Gene ENSG00000251321","1.1042329"
"CRAT37","Gene","cervical cancer-associated transcript 37 [Source:NCBI gene (formerly Entrezgene);Acc:101926928]  CRAT37-201 (EntrezGene transcript name record; description: cervical cancer-associated transcript 37,) is an external reference matched to Transcript ENST00000554333","1.1042329"
"SCAT1","Gene","S-phase cancer associated transcript 1 [Source:HGNC Symbol;Acc:HGNC:52930]  SCAT1-201 (Transcript name record; description: S-phase cancer associated transcript 1,) is an external reference matched to Transcript ENST00000586185","1.1041709"
"novel gene","Gene","novel cancer/testis antigen family protein  LOC727838 (NCBI gene (formerly Entrezgene) record; description: cancer/testis antigen family 47 member A11,) is an external reference matched to Gene ENSG00000277535","1.1039817"
"PCSEAT","Gene","prostate cancer expressed EZH2 associated transcript [Source:HGNC Symbol;Acc:HGNC:54485]  PCSEAT-201 (Transcript name record; description: prostate cancer expressed EZH2 associated transcript,) is an external reference matched to Transcript ENST00000650670","1.1039817"
"GACAT1","Gene","gastric cancer associated transcript 1 [Source:HGNC Symbol;Acc:HGNC:48336]  GACAT1-201 (Transcript name record; description: gastric cancer associated transcript 1,) is an external reference matched to Transcript ENST00000419650","1.1039817"
"CT66","Gene","cancer/testis associated transcript 66 [Source:HGNC Symbol;Acc:HGNC:54198]  CT66-201 (Transcript name record; description: cancer/testis associated transcript 66,) is an external reference matched to Transcript ENST00000436600","1.1039817"
"SCAT8","Gene","S-phase cancer associated transcript 8 [Source:HGNC Symbol;Acc:HGNC:40967]  SCAT8-201 (Transcript name record; description: S-phase cancer associated transcript 8,) is an external reference matched to Transcript ENST00000429530","1.1039817"
"SOCAR","Gene","serous ovarian cancer associated RNA [Source:HGNC Symbol;Acc:HGNC:54421]  SOCAR-201 (Transcript name record; description: serous ovarian cancer associated RNA,) is an external reference matched to Transcript ENST00000455309","1.1039817"
"DRAIC","Gene","downregulated RNA in cancer, inhibitor of cell invasion and migration [Source:HGNC Symbol;Acc:HGNC:27082]  DRAIC-201 (Transcript name record; description: downregulated RNA in cancer, inhibitor of cell invasion and migration,) is an external reference matched to Transcript ENST00000498938","1.1039817"
